Date	Open	High	Low	Close*	Adj Close**	Volume
Apr 06, 2023	426.50	439.30	423.75	437.65	437.65	10,907,492
Apr 05, 2023	424.25	428.75	423.15	426.55	426.55	8,821,326
Apr 03, 2023	423.00	424.95	419.50	424.25	424.25	6,948,329
Mar 31, 2023	411.35	421.75	411.00	420.80	420.80	11,037,881
Mar 29, 2023	401.60	410.60	401.60	409.20	409.20	10,478,506
Mar 28, 2023	414.15	414.50	400.45	401.60	401.60	9,553,659
Mar 27, 2023	416.00	418.50	410.25	412.05	412.05	7,433,933
Mar 24, 2023	419.00	420.55	414.80	416.50	416.50	6,877,960
Mar 23, 2023	416.00	422.50	416.00	419.15	419.15	9,817,460
Mar 22, 2023	416.00	418.40	413.75	416.10	416.10	5,728,054
Mar 21, 2023	412.85	413.90	407.70	412.55	412.55	7,391,950
Mar 20, 2023	415.60	416.95	405.50	410.75	410.75	10,075,022
